Deporte,Fecha,Tiempo,Distancia,Frecuencia Media,Calorias,Tiempo Zona 1,Tiempo Zona 2,Tiempo Zona 3,Tiempo Zona 4,Tiempo Zona 5,Tipo,Tenis,Terreno
Correr,"Viernes, Mar 26, 2021 07:01 AM",01:01:50,8.39,134,593,00:28:15,00:10:44,00:03:02,00:19:09,00:00:00,Tempo Run,Pegasus 37,
Ciclismo,"Sábado, Mar 27, 2021 09:01 AM",02:30:20,41,114,1099,01:53:46,00:15:12,00:12:34,00:00:00,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Mar 27, 2021 11:38 AM",00:32:52,6.43,164,415,00:00:56,00:01:04,00:03:19,00:25:57,00:01:27,Duatlón,Asics,
Caminata,"Lunes, Mar 29, 2021 07:15 AM",00:20:42,2.11,110,150,00:16:48,00:00:59,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Mar 29, 2021 07:37 AM",00:44:53,8.74,162,559,00:00:42,00:02:26,00:05:33,00:35:28,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Mar 30, 2021 07:24 AM",01:00:00,11.37,165,771,00:00:26,00:02:17,00:02:19,00:54:25,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Mar 31, 2021 07:00 AM",01:18:17,18.98,120,632,00:31:08,00:45:30,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Mar 31, 2021 08:21 AM",00:58:08,5.83,119,463,00:20:19,00:36:23,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Lunes, Abr 5, 2021 09:16 AM",00:30:32,3.05,103,178,00:25:35,00:00:00,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Abr 5, 2021 09:47 AM",00:26:49,5.33,162,330,00:00:52,00:00:23,00:03:32,00:21:52,00:00:00,Velocity,Pegasus 36,
Entrenamiento en circuito,"Lunes, Abr 5, 2021 07:19 PM",01:06:55,,115,459,00:15:18,00:17:58,00:11:44,00:00:32,00:00:00,Fuerza,,
Correr,"Martes, Abr 6, 2021 07:02 AM",01:04:33,10.85,162,783,00:00:27,00:06:37,00:12:40,00:44:09,00:00:00,Long Run,Pegasus 37,
Ciclismo,"Miércoles, Abr 7, 2021 07:11 AM",01:02:19,16.38,118,495,00:35:01,00:26:26,00:00:00,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Abr 7, 2021 08:14 AM",00:45:59,4.54,118,364,00:17:38,00:26:59,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
Caminata,"Jueves, Abr 8, 2021 09:07 AM",00:28:31,3.02,106,178,00:26:23,00:00:03,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Jueves, Abr 8, 2021 09:37 AM",00:35:57,7.45,165,463,00:00:31,00:00:22,00:03:23,00:29:49,00:01:03,Velocity,Pegasus 36,
Correr,"Viernes, Abr 9, 2021 07:01 AM",01:02:36,11.55,160,767,00:04:17,00:07:16,00:01:46,00:46:42,00:01:58,Tempo Run,Pegasus 37,
Ciclismo,"Sábado, Abr 10, 2021 09:04 AM",02:53:07,52,133,1624,00:07:26,02:06:22,00:17:10,00:17:05,00:00:00,Duatlón,,Rodillo
Correr,"Sábado, Abr 10, 2021 12:05 PM",00:32:11,6.07,162,397,00:00:37,00:00:23,00:04:53,00:25:42,00:00:00,Duatlón,Asics,
Caminata,"Lunes, Abr 12, 2021 09:11 AM",00:29:31,2.98,118,234,00:07:56,00:20:03,00:00:00,00:00:00,00:00:00,Velocity,Pegasus 36,
Correr,"Lunes, Abr 12, 2021 09:41 AM",00:39:45,8.44,163,499,00:00:30,00:01:03,00:06:53,00:30:39,00:00:00,Velocity,Pegasus 36,
Correr,"Martes, Abr 13, 2021 07:01 AM",01:37:40,17.96,159,1193,00:03:00,00:01:18,00:23:41,01:09:01,00:00:00,Tempo Run,Pegasus 37,
Ciclismo,"Miércoles, Abr 14, 2021 06:47 AM",01:17:57,19.11,125,671,00:13:20,01:02:44,00:00:16,00:00:00,00:00:00,Speed Bike,,Circuito
Caminata,"Miércoles, Abr 14, 2021 08:07 AM",01:01:43,6.01,121,507,00:14:11,00:46:12,00:00:00,00:00:00,00:00:00,Power Walk,Asics,
